k%	P@k_improvement_wrt_Random_Predictor
1	57.90592441266599
2	50.07058823529412
3	33.38039215686275
4	25.03529411764706
5	20.02823529411765
6	16.690196078431374
7	14.305882352941177
8	12.51764705882353
9	11.126797385620916
10	10.014117647058825
11	9.103743315508021
12	8.345098039215687
13	7.703167420814479
14	7.152941176470589
15	6.67607843137255
16	6.258823529411765
17	5.890657439446366
18	5.563398692810458
19	5.270588235294118
20	5.0070588235294125
21	4.768627450980392
22	4.551871657754011
23	4.353964194373401
24	4.172549019607843
25	4.005647058823529
26	3.8515837104072395
27	3.7089324618736383
28	3.5764705882352943
29	3.4531440162271805
30	3.338039215686275
31	3.230360531309298
32	3.1294117647058823
33	3.0345811051693405
34	2.945328719723183
35	2.861176470588236
36	2.781699346405229
37	2.7065182829888714
38	2.635294117647059
39	2.5677224736048267
40	2.5035294117647062
41	2.442467718794835
42	2.384313725490196
43	2.3288645690834473
44	2.2759358288770053
45	2.2253594771241834
46	2.1769820971867007
47	2.130663329161452
48	2.0862745098039217
49	2.0436974789915965
50	2.0028235294117644
51	1.9635524798154556
52	1.9257918552036197
53	1.8894561598224193
54	1.8544662309368192
55	1.8207486631016043
56	1.7882352941176471
57	1.756862745098039
58	1.7265720081135902
59	1.697308075772682
60	1.6690196078431374
61	1.6416586306653813
62	1.615180265654649
63	1.5895424836601308
64	1.5647058823529412
65	1.5406334841628957
66	1.5172905525846703
67	1.4946444249341528
68	1.4726643598615916
69	1.4513213981244673
70	1.430588235294118
71	1.4104391052195528
72	1.3908496732026145
73	1.3717969379532635
74	1.3532591414944357
75	1.3352156862745097
76	1.3176470588235294
77	1.3005347593582888
78	1.2838612368024134
79	1.2676098287416233
80	1.2517647058823531
81	1.2363108206245461
82	1.2212338593974175
83	1.2065201984408223
84	1.192156862745098
85	1.1781314878892732
86	1.1644322845417237
87	1.1510480054090604
88	1.1379679144385026
89	1.1251817580964971
90	1.1126797385620917
91	1.1004524886877827
92	1.0884910485933503
93	1.076786843769766
94	1.065331664580726
95	1.0541176470588236
96	1.0431372549019609
97	1.0323832625833838
98	1.0218487394957982
99	1.011527035056447
100	1.0014117647058822
