k%	P@k_improvement_wrt_Random_Predictor
1	15.443087684512008
2	12.264441506939855
3	10.1411556076295
4	9.477157563740512
5	8.400025636403694
6	7.6427503721951835
7	7.1675816802717005
8	6.754623127340824
9	6.256422842658798
10	5.99466472390795
11	5.862571669953152
12	5.563468500270384
13	5.3446209771722
14	5.125063804888656
15	4.950120771495523
16	4.754059358038414
17	4.501183474651652
18	4.339483260674602
19	4.158869700237495
20	3.9963174958440986
21	3.860083819023013
22	3.7362350219129348
23	3.662517100369482
24	3.595047050144539
25	3.5512819002984237
26	3.4496105046088523
27	3.330183137833502
28	3.211248025768019
29	3.1005153352242942
30	3.0122533664470215
31	2.922425343988464
32	2.8593905689829557
33	2.786535380239941
34	2.71796579083475
35	2.6403096253823284
36	2.5669676913439305
37	2.503673202433943
38	2.4377870655277865
39	2.3752797048732277
40	2.3215873290071904
41	2.270514093427301
42	2.2164542340599844
43	2.180786787004989
44	2.1363958298055965
45	2.088920366921028
46	2.048456547427782
47	2.004872365567617
48	1.9678455385814524
49	1.927685425549178
50	1.8891317170381943
51	1.852089918664896
52	1.8164728048444174
53	1.7821997330549002
54	1.7491960342946242
55	1.7215303731298444
56	1.694852771292378
57	1.6731039391725726
58	1.644257319531666
59	1.6163885514040106
60	1.5894487422139438
61	1.563392205456338
62	1.5381762021425263
63	1.5173332719763652
64	1.4936249396017345
65	1.4706460943770925
66	1.4483635777956212
67	1.4301429970857125
68	1.4091114824226874
69	1.3886895768803296
70	1.3688511543534676
71	1.3527769785207673
72	1.3339884093746452
73	1.3157145955475955
74	1.301010137097381
75	1.283663335269416
76	1.2697675633610253
77	1.2532770755251679
78	1.2372094207107425
79	1.2215485419675687
80	1.206279185192974
81	1.194196536860119
82	1.1851840100747941
83	1.170904684652206
84	1.1623840257928164
85	1.1540638530242355
86	1.1406445058960468
87	1.1275336495064372
88	1.1198931459945851
89	1.109867208064665
90	1.1050935828877007
91	1.092949697361462
92	1.0810698093466635
93	1.069445402794549
94	1.0629105510676227
95	1.051722018951121
96	1.0407665812537137
97	1.0300370288696548
98	1.0195264469424132
99	1.011527035056447
100	1.0014117647058822
