k%	P@k_improvement_wrt_Random_Predictor
1	4.316569528730797
2	4.881761601474094
3	4.616664997629968
4	4.257160292615514
5	3.814375413086583
6	3.520023182919746
7	3.405871838009974
8	3.093930193374592
9	3.002194338182442
10	2.8157672394800617
11	2.642546461429776
12	2.535707746666934
13	2.480512096407668
14	2.4978667207434557
15	2.422041064978937
16	2.3841416999639486
17	2.3105390831451253
18	2.270541335362882
19	2.210797595743851
20	2.2026708175609366
21	2.1844806530034555
22	2.1263366480402173
23	2.0534586721840666
24	2.02468935054444
25	1.9891181878267141
26	2.0087061511962374
27	1.976361859766795
28	1.9220335555059613
29	1.8870608678116028
30	1.846749768003899
31	1.8238843997185683
32	1.7882240750615874
33	1.7546488286093527
34	1.7498971775214922
35	1.732340409095201
36	1.7029758089820881
37	1.6815531838995157
38	1.661258065400237
39	1.6534814179724955
40	1.612144382523183
41	1.5949045815790128
42	1.5840240760928137
43	1.5682985304248311
44	1.5584601611561144
45	1.5389441785112639
46	1.5252788416072565
47	1.5073527813750847
48	1.5043453266137914
49	1.487578156901167
50	1.4714816739770475
51	1.4515539811630558
52	1.4454742946522523
53	1.4310833458983456
54	1.4129643260096003
55	1.391411968631821
56	1.366565326334824
57	1.3465832095610857
58	1.3272468025285562
59	1.3085658669208582
60	1.2943425914799014
61	1.2768547567053412
62	1.2709026737321836
63	1.25791463560796
64	1.2453717403713274
65	1.2436800256364038
66	1.2386293992014115
67	1.223539179366043
68	1.2088927895258323
69	1.204565918386718
70	1.1938602529878142
71	1.1866261781871104
72	1.1732712535133225
73	1.1633653898124376
74	1.1506857440267884
75	1.1383777297095208
76	1.1323826807751218
77	1.1206320572615713
78	1.1121004839692876
79	1.10948291510654
80	1.1126518155781209
81	1.112932784306802
82	1.1021358560863745
83	1.0970527848339824
84	1.0866720564630348
85	1.0818905139415618
86	1.0746030584360022
87	1.0727149621427947
88	1.060525019391172
89	1.0511661390635378
90	1.0445160294284552
91	1.0430139369333025
92	1.0341505753387201
93	1.0279249706626419
94	1.0242262044017398
95	1.025423016472865
96	1.0313100644581974
97	1.023024235651739
98	1.014907505392351
99	1.0069547494816375
100	1.0014117647058822
