k%	P@k_improvement_wrt_Random_Predictor
1	4.086471789941717
2	4.086471789941717
3	3.254507734316062
4	2.7810012718059647
5	4.039447014760961
6	4.3515683937858425
7	4.280826344838242
8	4.200264125057582
9	4.0861925601020115
10	3.8821482004446315
11	3.7149743544924703
12	3.7461418964930204
13	3.8073341452554934
14	3.778683909723236
15	3.6629873754064106
16	3.5619099746640233
17	3.4724283777081104
18	3.3048028756389627
19	3.1906243181106646
20	3.246795925213804
21	3.351565341833022
22	3.4677282422858644
23	3.4650544425257777
24	3.481778270978122
25	3.5238712171283226
26	3.4496105046088523
27	3.330183137833502
28	3.2193760497048665
29	3.1161241721865736
30	3.0198395221214125
31	2.9663118563844533
32	2.8878386527619218
33	2.8003283905570155
34	2.7312792105966945
35	2.672749919170937
36	2.604828662255959
37	2.5528806987002626
38	2.4976777682203464
39	2.433634748522389
40	2.3784834965651225
41	2.325961255226324
42	2.2759999079645477
43	2.2283623442963423
44	2.177717745562335
45	2.139438892115693
46	2.097876843813868
47	2.0629256203383273
48	2.029430697840934
49	1.9926583299305425
50	1.966409982174688
51	1.932315368215022
52	1.8995320855614974
53	1.8636918575320351
54	1.833393576285733
55	1.8000591476259928
56	1.7679152342755284
57	1.7368991775338525
58	1.7108765136148505
59	1.6818786066044293
60	1.6538472964943556
61	1.6267350457321528
62	1.6004973837042151
63	1.5750926633279576
64	1.550481840463458
65	1.526628273687097
66	1.5034975422675958
67	1.4810572804427065
68	1.4592770263185488
69	1.4381280839081352
70	1.4208346065699007
71	1.4040282694383772
72	1.3845278768072886
73	1.3655617415085586
74	1.3471082044611458
75	1.329146761734997
76	1.3116579885542734
77	1.2946234692223997
78	1.278025732437497
79	1.2618481915205668
80	1.2460750891265597
81	1.230691446050923
82	1.2156830137820094
83	1.2010362304834312
84	1.1867381801205332
85	1.172776554472056
86	1.1591396177921485
87	1.14581617390948
88	1.1327955355695998
89	1.1200674958440986
90	1.1101510200039613
91	1.0979515582456758
92	1.0860173021777881
93	1.074339696778027
94	1.0629105510676227
95	1.0517220189511212
96	1.0407665812537137
97	1.0300370288696548
98	1.0195264469424132
99	1.009228200003601
100	1.0014117647058822
