k%	P@k_improvement_wrt_Random_Predictor
1	100.01265548595866
2	50.00632774297933
3	33.33755182865289
4	25.003163871489665
5	20.00253109719173
6	16.668775914326446
7	14.28752221227981
8	12.501581935744833
9	11.11251727621763
10	10.001265548595866
11	9.092059589632607
12	8.334387957163223
13	7.693281191227589
14	7.143761106139905
15	6.667510365730578
16	6.250790967872416
17	5.883097381526981
18	5.556258638108815
19	5.263823972945193
20	5.000632774297933
21	4.762507404093269
22	4.546029794816303
23	4.348376325476464
24	4.1671939785816114
25	4.000506219438347
26	3.8466405956137946
27	3.704172425405877
28	3.5718805530699527
29	3.4487122581365055
30	3.333755182865289
31	3.2262146930954416
32	3.125395483936208
33	3.0306865298775354
34	2.9415486907634905
35	2.857504442455962
36	2.7781293190544076
37	2.703044742863748
38	2.6319119864725966
39	2.56442706374253
40	2.5003163871489664
41	2.4393330606331385
42	2.3812537020466347
43	2.325875708975783
44	2.2730148974081517
45	2.222503455243526
46	2.174188162738232
47	2.12792884012678
48	2.0835969892908057
49	2.0410746017542585
50	2.0002531097191736
51	1.9610324605089935
52	1.9233202978068973
53	1.8870312355841257
54	1.8520862127029385
55	1.8184119179265212
56	1.7859402765349763
57	1.7546079909817311
58	1.7243561290682528
59	1.6951297539992993
60	1.6668775914326446
61	1.6395517292780108
62	1.6131073465477208
63	1.5875024680310899
64	1.562697741968104
65	1.538656238245518
66	1.5153432649387677
67	1.4927262012829652
68	1.4707743453817452
69	1.449458775158821
70	1.428752221227981
71	1.40862895050646
72	1.3890646595272038
73	1.3700363765199817
74	1.351522371431874
75	1.3335020731461156
76	1.3159559932362983
77	1.298865655661801
78	1.282213531871265
79	1.2659829808349197
80	1.2501581935744832
81	1.234724141801959
82	1.2196665303165692
83	1.2049717528428756
84	1.1906268510233173
85	1.176619476305396
86	1.1629378544878914
87	1.1495707527121686
88	1.1365074487040758
89	1.1237377020894233
90	1.111251727621763
91	1.0990401701753698
92	1.087094081369116
93	1.0754048976984802
94	1.06396442006339
95	1.0527647945890386
96	1.0417984946454029
97	1.0310583039789554
98	1.0205373008771292
99	1.0102288432925117
100	1.0001265548595868
