k%	P@k_improvement_wrt_Random_Predictor
1	40.74334120000349
2	25.37988539828824
3	18.525866306943712
4	15.152194627391992
5	12.92444163063621
6	11.525604485262601
7	10.231514179571857
8	8.97173491076341
9	7.9834234857386575
10	7.192708814858074
11	6.554444334391451
12	6.017789905151437
13	5.563706449592072
14	5.17858603081611
15	4.842270166886236
16	4.5468241108650265
17	4.287230770378521
18	4.055443727711995
19	3.8470344093707154
20	3.668040122430144
21	3.5116223621966114
22	3.357205424521182
23	3.2195527261176524
24	3.091780649241783
25	2.9727150103132294
26	2.8605855959908673
27	2.757458961665391
28	2.6692170176789243
29	2.5850993797523634
30	2.50787411906684
31	2.43497741544075
32	2.369618394699497
33	2.303019966218067
34	2.2408881750942884
35	2.1801473893477654
36	2.127556349021086
37	2.0778139083997287
38	2.029682090194844
39	1.9830172648417683
40	1.9439688970044784
41	1.9049515050038697
42	1.866903997457444
43	1.8288176103142426
44	1.7968209098081125
45	1.761982993857496
46	1.731571089370385
47	1.7020490493735665
48	1.674167347612837
49	1.6466467433119476
50	1.620590140942013
51	1.5925720439723108
52	1.572234426780391
53	1.5483261391025853
54	1.5334503044684573
55	1.510437267188668
56	1.4872212175057578
57	1.4698453185093308
58	1.448118957043645
59	1.426490188315889
60	1.406221628688411
61	1.3903777010906342
62	1.371958717074277
63	1.354728719392853
64	1.3389378157018208
65	1.3215696511558315
66	1.3093660644234189
67	1.295828296122246
68	1.280714045130884
69	1.2668563060845728
70	1.2523236923804242
71	1.2398035697377128
72	1.2273618958210177
73	1.2176105647625497
74	1.2034795407254184
75	1.188193478010892
76	1.1763324220420182
77	1.164275227612939
78	1.1513141817180261
79	1.1425363677327756
80	1.137327704541321
81	1.1306202409272923
82	1.1207890404055818
83	1.1114411909918807
84	1.1007216380290408
85	1.0933906952204342
86	1.0831171314289725
87	1.0759445969615067
88	1.0687141791380619
89	1.0627253056615051
90	1.059002022293701
91	1.0507325928511102
92	1.04325081821995
93	1.0388185898579996
94	1.0340741154064956
95	1.0266129204195467
96	1.0201040452260484
97	1.017677537395271
98	1.011574875316323
99	1.0067541150180084
100	1.0001265548595868
