k%	P@k_improvement_wrt_Random_Predictor
1	11.489264842635254
2	9.070734500432614
3	7.755204472051403
4	6.935225288845311
5	6.355215878729389
6	5.90152894554072
7	5.528396258418326
8	5.1742742022285775
9	4.871301903727537
10	4.607934732842294
11	4.3766291044914984
12	4.193497387868297
13	4.019453059987586
14	3.8716966689672487
15	3.7245263248849776
16	3.587317189208856
17	3.45726766354408
18	3.340600650839955
19	3.232173805729566
20	3.1403446786892846
21	3.051818915573217
22	2.9634996914838
23	2.8803490429893657
24	2.8057381225691627
25	2.74401448604531
26	2.6759690479293257
27	2.606598706283596
28	2.548314933971782
29	2.501330424598645
30	2.449821524767972
31	2.3991421479131403
32	2.3546231716489254
33	2.305284745512946
34	2.265025028435586
35	2.219463134078864
36	2.1732331819484303
37	2.1305022366309667
38	2.0990937456524272
39	2.06487700891212
40	2.027101754172044
41	1.9963266756462068
42	1.9720219344340713
43	1.9417148906815729
44	1.9132189357546985
45	1.885991789492239
46	1.8582826171436229
47	1.830953131033326
48	1.8035405724482128
49	1.779601729129396
50	1.755104479581566
51	1.7300552054583491
52	1.7096568340230938
53	1.6875083375104396
54	1.6640464923135603
55	1.6452667716091494
56	1.6257859740889415
57	1.6076705875047943
58	1.587858424264324
59	1.5667682267445784
60	1.546384448448244
61	1.5241741366841122
62	1.50515031992215
63	1.485807315560732
64	1.4664717637198508
65	1.4495092191537071
66	1.4339197493193616
67	1.4176534521990352
68	1.3998999331754107
69	1.3843249775102717
70	1.3697402633279527
71	1.3536798164222725
72	1.3362013945691948
73	1.3205219367999756
74	1.3060357705444248
75	1.2921813773336868
76	1.2786983155431328
77	1.2650754447571215
78	1.2513040670631919
79	1.2381295533916026
80	1.2255219302199014
81	1.2120489936824221
82	1.1993669751448306
83	1.186761331525539
84	1.1735425784036297
85	1.16085489532318
86	1.149803201308175
87	1.1387872616719974
88	1.1278070713345876
89	1.1162075764623491
90	1.10444049472935
91	1.0933579435153047
92	1.082719604630943
93	1.0716961273694114
94	1.0607039154393845
95	1.0503457463439763
96	1.040201069760937
97	1.0302651896950312
98	1.0203408525118551
99	1.0100343792541593
100	1.0001265548595868
