k%	P@k_improvement_wrt_Random_Predictor
1	13.116401405413274
2	11.595209017851285
3	10.726096081006023
4	10.80236246613587
5	10.622354783864894
6	10.626438917666587
7	10.266979784991838
8	9.064770676265036
9	8.117157480335724
10	7.372363745450341
11	6.755951010710075
12	6.26946380573113
13	5.840226445475895
14	5.472231058977576
15	5.148204245047312
16	4.8766173249617655
17	4.644816624186143
18	4.428177943878657
19	4.219248456225835
20	4.040777544873894
21	3.8765902037618134
22	3.7290724661058228
23	3.592744613983384
24	3.479680608180156
25	3.3611517224075462
26	3.2597643993907086
27	3.171554628197554
28	3.0842670926077593
29	3.008257054569855
30	2.935392543829456
31	2.869113833397293
32	2.804558825477355
33	2.743913168644986
34	2.6879469364673323
35	2.643380555285046
36	2.581648583858008
37	2.5149852329537716
38	2.4528321164953044
39	2.3928838664886607
40	2.337368603925755
41	2.284564984421472
42	2.2333548125099654
43	2.184533226925691
44	2.1387925834292374
45	2.094239787490813
46	2.0536991482652875
47	2.0128502745520733
48	1.9724996664540413
49	1.934980494711952
50	1.8997175972323
51	1.8650941398986511
52	1.8347394989352892
53	1.80336470923681
54	1.7713856013875422
55	1.7416141973550014
56	1.71290853949997
57	1.6868758175639553
58	1.6607563869559834
59	1.6364973585589624
60	1.610489420680422
61	1.585969483221203
62	1.5628486744134409
63	1.5416793841269185
64	1.519089523972611
65	1.4971902698973714
66	1.4765258217124935
67	1.455624935854143
68	1.4342186867974642
69	1.4150936505179545
70	1.396249427567139
71	1.3792825479875481
72	1.36278287572704
73	1.3456789130555342
74	1.3311045615164212
75	1.3148903186643737
76	1.298339457065315
77	1.283214676566508
78	1.267994476655717
79	1.2529098993301626
80	1.2374891748359969
81	1.222211530702219
82	1.2077729533583808
83	1.1939115866052046
84	1.180151074722111
85	1.1667199312500127
86	1.1538185931491443
87	1.141877242553444
88	1.1293355535001635
89	1.117075311008946
90	1.105728408859131
91	1.093786693813588
92	1.0823130189445789
93	1.0721183268035142
94	1.0619268858334778
95	1.0507487080878624
96	1.040600998201772
97	1.0300689904750593
98	1.0195580824089872
99	1.0092595159200075
100	1.0001265548595868
