k%	P@k_improvement_wrt_Random_Predictor
1	100.01556146606865
2	50.00778073303432
3	33.338520488689554
4	25.00389036651716
5	20.003112293213732
6	16.669260244344777
7	14.287937352295524
8	12.50194518325858
9	11.112840162896518
10	10.001556146606866
11	9.092323769642608
12	8.334630122172388
13	7.693504728159129
14	7.143968676147762
15	6.667704097737911
16	6.25097259162929
17	5.883268321533452
18	5.556420081448259
19	5.2639769192667725
20	5.000778073303433
21	4.762645784098508
22	4.546161884821304
23	4.3485026724377684
24	4.167315061086194
25	4.000622458642747
26	3.8467523640795647
27	3.7042800542988394
28	3.571984338073881
29	3.4488124643471956
30	3.3338520488689554
31	3.226308434389312
32	3.125486295814645
33	3.030774589880869
34	2.941634160766726
35	2.857587470459105
36	2.7782100407241295
37	2.703123282866721
38	2.6319884596333862
39	2.5645015760530425
40	2.5003890366517165
41	2.4394039381967967
42	2.381322892049254
43	2.3259432899085737
44	2.273080942410652
45	2.222568032579304
46	2.1742513362188842
47	2.127990669490823
48	2.083657530543097
49	2.0411339074707895
50	2.0003112293213734
51	1.9610894405111505
52	1.9233761820397823
53	1.887086065397522
54	1.8521400271494197
55	1.8184647539285215
56	1.7859921690369405
57	1.7546589730889242
58	1.7244062321735978
59	1.695179007899469
60	1.6669260244344777
61	1.6395993682962076
62	1.613154217194656
63	1.5875485946995027
64	1.5627431479073226
65	1.5387009456318257
66	1.5153872949404346
67	1.4927695741204279
68	1.470817080383363
69	1.4495008908125895
70	1.4287937352295526
71	1.408669879803784
72	1.3891050203620647
73	1.370076184466694
74	1.3515616414333604
75	1.3335408195475822
76	1.3159942298166931
77	1.2989033956632297
78	1.2822507880265213
79	1.2660197653932745
80	1.2501945183258583
81	1.2347600180996132
82	1.2197019690983983
83	1.2050067646514298
84	1.190661446024627
85	1.17665366430669
86	1.1629716449542868
87	1.1496041547823985
88	1.136540471205326
89	1.1237703535513333
90	1.111284016289652
91	1.0990721040227325
92	1.0871256681094421
93	1.0754361447964373
94	1.0639953347454114
95	1.0527953838533546
96	1.0418287652715486
97	1.0310882625367905
98	1.0205669537353947
99	1.0102581966269564
100	1.0001556146606867
