k%	P@k_improvement_wrt_Random_Predictor
1	47.36953713683181
2	30.070508601236327
3	22.545221312811638
4	17.99123334608147
5	15.390095675610473
6	13.26748434811554
7	11.595675228320545
8	10.31900271414529
9	9.285721629981586
10	8.48071716202857
11	7.841990342500283
12	7.355412167494582
13	6.971465452849458
14	6.548901360594198
15	6.148672777962877
16	5.778067928005086
17	5.442445413768224
18	5.14817700582581
19	4.879127826202832
20	4.6442897928349085
21	4.438738862021595
22	4.246917454907573
23	4.071762294604625
24	3.902105532329432
25	3.7489464664293073
26	3.608945310974107
27	3.475280669826918
28	3.353759093885081
29	3.2431419137549313
30	3.1410965704189673
31	3.0432947773689567
32	2.9504670354325016
33	2.861058943449698
34	2.779042068229955
35	2.7048346266712713
36	2.6357513192925905
37	2.56648772668683
38	2.5046859837428253
39	2.442331534857915
40	2.384897505785389
41	2.327617840732469
42	2.2739287622258737
43	2.2210466979880628
44	2.1722157545332985
45	2.1255592673571115
46	2.083306127142251
47	2.040529550722254
48	1.9980185184155403
49	1.9594654144600003
50	1.9217334099524386
51	1.8854862624009463
52	1.8499275119435368
53	1.818462744181904
54	1.7861369137513594
55	1.7582847298586881
56	1.7294812922072977
57	1.7004178042252633
58	1.6717251281694694
59	1.644005085200313
60	1.6166050004469739
61	1.5901032791281713
62	1.5650410099968979
63	1.5407743684570936
64	1.5166997689499513
65	1.4944869292596736
66	1.4734963772090988
67	1.4525953698601024
68	1.4312336732445123
69	1.4110191452064131
70	1.3918972315031566
71	1.3743401953300103
72	1.3562659659647158
73	1.3391852195517135
74	1.3220702374423048
75	1.3068613585753825
76	1.2930182542553985
77	1.2771721105518465
78	1.2635980935712785
79	1.2503630154060197
80	1.2356442925769682
81	1.2212866660446042
82	1.2077235089229763
83	1.1944910852413222
84	1.1824388839283366
85	1.169813678560916
86	1.1562111939264867
87	1.142921410088251
88	1.1303476889561828
89	1.1180565233551725
90	1.1056336730956704
91	1.0934838525122017
92	1.0815981584631558
93	1.0699680707377455
94	1.058585431687344
95	1.0482054291009346
96	1.0380416765684086
97	1.028466955323858
98	1.0183422169326881
99	1.008790011020286
100	1.0001556146606867
