k%	P@k_improvement_wrt_Random_Predictor
1	5.930767368028249
2	5.149066058074302
3	5.094040197577917
4	4.829878193616535
5	4.475153869709662
6	4.123419654084029
7	3.9086545762937193
8	3.679099438533771
9	3.4725041515250465
10	3.281548764226246
11	3.155268979195595
12	3.047025805287215
13	2.94982167470394
14	2.8740731171790497
15	2.7794165901284438
16	2.689869835919729
17	2.619380094767916
18	2.5546636163620984
19	2.494939651883737
20	2.4374973918074465
21	2.3838108040254564
22	2.3217808178082997
23	2.285731346964818
24	2.2314090281731724
25	2.1770678331665456
26	2.140923244110553
27	2.0980068648622447
28	2.0581584279322733
29	2.02233907804561
30	1.9949049325413437
31	1.9563518388809087
32	1.9304988889445238
33	1.9017698097780074
34	1.873631188141885
35	1.8439918354825235
36	1.8129721172369302
37	1.788573644706683
38	1.7606328702030638
39	1.7472158577168533
40	1.7253478722252678
41	1.6930319260090463
42	1.6735030944214018
43	1.6616666033572471
44	1.6363121743160747
45	1.6120801756094258
46	1.5873231993231796
47	1.5667368298780215
48	1.550025553835957
49	1.5317439186981257
50	1.5149427020141601
51	1.4966706667009542
52	1.4874824108503106
53	1.4745387879844327
54	1.458031425971907
55	1.4414394477019516
56	1.4273932474660542
57	1.4112809337277186
58	1.4001048748429121
59	1.3844032940457942
60	1.3746710560974815
61	1.3622945745503297
62	1.3502882485942576
63	1.3403981119558375
64	1.3274174816921431
65	1.3148371083877772
66	1.307030538641459
67	1.296213747880365
68	1.284101970054825
69	1.2755142979171163
70	1.2624855947136218
71	1.2539519199346818
72	1.2430929736077339
73	1.2355261124970367
74	1.2281670962718443
75	1.216150004180625
76	1.206365819786321
77	1.1949597029729613
78	1.1829012800541097
79	1.1729896636269665
80	1.1637812280931978
81	1.1548033833614215
82	1.1438205207103664
83	1.1326724987947672
84	1.1217837963664326
85	1.1120161410514746
86	1.105429298379276
87	1.0998352012174446
88	1.0927143593031847
89	1.0857505429645822
90	1.0789430184057118
91	1.0690861748990828
92	1.0606254637601875
93	1.0503954939780138
94	1.0411611499872304
95	1.0328828415965847
96	1.0278078493600622
97	1.0217119278878133
98	1.0149961801650114
99	1.008420700610563
100	1.0001556146606867
