k%	P@k_improvement_wrt_Random_Predictor
1	8.987472946295757
2	7.749270487990221
3	8.682983547186772
4	8.731471245556069
5	8.142365873336198
6	8.161612546192224
7	7.83245320300086
8	7.808403538880384
9	7.6359252987273205
10	7.657981605990185
11	7.289358014419409
12	7.051838155917432
13	6.954579309905114
14	6.554105823253577
15	6.153564851818442
16	5.782618367717736
17	5.451022044146532
18	5.180556162136102
19	4.919411016626836
20	4.677074292968268
21	4.469958492531053
22	4.275044773043004
23	4.100220137433657
24	3.952097910346777
25	3.798370650916669
26	3.66066501844546
27	3.5385409965788157
28	3.4173738492049557
29	3.310824976818954
30	3.2101585189939086
31	3.110128833672107
32	3.017485571506978
33	2.93375562363105
34	2.86243666089372
35	2.794161603065951
36	2.725642018258866
37	2.6618125411709856
38	2.5975242970083317
39	2.5346431359974337
40	2.4739952520716892
41	2.4171943683036803
42	2.3613801138447554
43	2.3098506709833604
44	2.2573540648246473
45	2.207996032117194
46	2.1607881607769555
47	2.116364210063219
48	2.0722732890202353
49	2.0299819974075772
50	1.9893823574594258
51	1.950374860254339
52	1.9128676514032938
53	1.8774631907846597
54	1.8426953539182769
55	1.8105190455357523
56	1.7781883482940422
57	1.7482637314113127
58	1.7187493780872498
59	1.6902355113165448
60	1.6626743268348219
61	1.6360167877459422
62	1.6102191692728325
63	1.5846601348399303
64	1.5598998202330567
65	1.5359013614602404
66	1.5131821582633616
67	1.4916848495912418
68	1.4697483076854883
69	1.4489756358417312
70	1.4282759839011352
71	1.408159420747598
72	1.3886016510149921
73	1.3695797105901295
74	1.351071876663236
75	1.3330575849743926
76	1.3155173535931506
77	1.2984327126373956
78	1.2817861393984544
79	1.2655609983934109
80	1.249741485913493
81	1.2343125786799933
82	1.2192599862570666
83	1.2045701069045718
84	1.1902299865842791
85	1.176227280859758
86	1.1625502194544122
87	1.1491875732537866
88	1.136540471205326
89	1.1237703535513333
90	1.111284016289652
91	1.0990721040227325
92	1.0871256681094421
93	1.0754361447964373
94	1.0639953347454114
95	1.0527953838533546
96	1.0418287652715486
97	1.0310882625367905
98	1.0205669537353947
99	1.0102581966269564
100	1.0001556146606867
