k%	P@k_improvement_wrt_Random_Predictor
1	100.00913510589005
2	50.004567552945026
3	33.33637836863001
4	25.002283776472513
5	20.001827021178006
6	16.668189184315004
7	14.287019300841433
8	12.501141888236257
9	11.11212612287667
10	10.000913510589003
11	9.091739555080913
12	8.334094592157502
13	7.693010392760773
14	7.143509650420716
15	6.667275673726003
16	6.250570944118128
17	5.882890300346473
18	5.556063061438335
19	5.263638689783686
20	5.000456755294501
21	4.762339766947145
22	4.545869777540457
23	4.3482232654734805
24	4.167047296078751
25	4.000365404235602
26	3.8465051963803867
27	3.7040420409588903
28	3.571754825210358
29	3.448590865720347
30	3.3336378368630015
31	3.2261011324480657
32	3.125285472059064
33	3.0305798516936373
34	2.9414451501732364
35	2.8574038601682874
36	2.7780315307191676
37	2.702949597456487
38	2.631819344891843
39	2.5643367975869245
40	2.5002283776472507
41	2.4392471977046353
42	2.3811698834735724
43	2.3257938396718614
44	2.2729348887702283
45	2.222425224575334
46	2.1741116327367402
47	2.1278539384231925
48	2.0835236480393755
49	2.0410027572630622
50	2.000182702117801
51	1.9609634334488244
52	1.9232525981901933
53	1.88696481331868
54	1.8520210204794452
55	1.8183479110161826
56	1.785877412605179
57	1.7545462299278956
58	1.7242954328601734
59	1.6950700865405088
60	1.6668189184315008
61	1.639494018129345
62	1.6130505662240329
63	1.5874465889823817
64	1.562642736029532
65	1.5386020785521546
66	1.5152899258468187
67	1.4926736582968663
68	1.4707225750866182
69	1.4494077551578268
70	1.4287019300841437
71	1.4085793676885923
72	1.3890157653595838
73	1.36998815213548
74	1.3514747987282436
75	1.3334551347452006
76	1.3159096724459216
77	1.2988199364401303
78	1.2821683987934622
79	1.2659384190618994
80	1.2501141888236253
81	1.2346806803196302
82	1.2196235988523176
83	1.2049293386251811
84	1.1905849417367862
85	1.1765780600692948
86	1.1628969198359307
87	1.1495302885734486
88	1.1364674443851142
89	1.1236981472571914
90	1.111212612287667
91	1.0990014846801104
92	1.0870558163683701
93	1.0753670441493555
94	1.0639269692115962
95	1.0527277379567372
96	1.0417618240196878
97	1.0310220114009283
98	1.0205013786315311
99	1.010193283897879
100	1.0000913510589005
