k%	P@k_improvement_wrt_Random_Predictor
1	2.4219491374969206
2	2.8328790549374565
3	3.4196717661936935
4	3.3443214557379575
5	3.40042727223192
6	3.616532963381288
7	3.5875736653411723
8	3.5395521282948366
9	3.5745929214556065
10	3.598372120693599
11	3.606627064202859
12	3.6273939290889095
13	3.690359709021611
14	3.845121573266179
15	4.008759471529881
16	4.275709928118782
17	4.426830152274414
18	4.192581572929757
19	3.992989495670218
20	3.8080916708595076
21	3.63978813890476
22	3.481047463187301
23	3.343429076600404
24	3.2120296500838563
25	3.097031402814749
26	2.9973711759656485
27	2.8957054989792974
28	2.795287506456476
29	2.7061653300275417
30	2.628613105183529
31	2.545858049410991
32	2.4722326486740114
33	2.407522327189448
34	2.3441421008694845
35	2.2825876001353422
36	2.232060279379367
37	2.1740111409157072
38	2.124002730224862
39	2.076023433111476
40	2.0272712633919348
41	1.9891389701655797
42	1.9472877585542867
43	1.9064210608095529
44	1.8702730888170538
45	1.8352609908591582
46	1.797652559505385
47	1.7638937444367635
48	1.7319656038304907
49	1.708664185848654
50	1.6786922853572137
51	1.6523840117082347
52	1.6258756800648506
53	1.6055374412270838
54	1.5797124118981827
55	1.5548272880114575
56	1.5420969137155058
57	1.522049809885929
58	1.5001698415952769
59	1.482949312255765
60	1.4599847868491274
61	1.440540643286238
62	1.4200200911064929
63	1.3998188402475868
64	1.380586031573651
65	1.3655057430662834
66	1.3508726941589222
67	1.331655129433544
68	1.317032861247199
69	1.3040482693370652
70	1.2881285605893056
71	1.2720620481503204
72	1.2587903833989802
73	1.245298353848892
74	1.2301798196710858
75	1.2191116314109105
76	1.2122229439271923
77	1.1992158596199747
78	1.18465278267047
79	1.1741852431535027
80	1.1605606599252274
81	1.149088309827309
82	1.1373870037904006
83	1.127747540060839
84	1.1168288192795852
85	1.1041871113927897
86	1.0920832044800448
87	1.0807420952044076
88	1.069416505146388
89	1.0611867152383099
90	1.054548827978786
91	1.0461994038524138
92	1.0380354795303648
93	1.0323120760994091
94	1.0233468687903646
95	1.0176784865480875
96	1.0114659607491505
97	1.0025608215283348
98	1.0009275522511518
99	0.9986960541264406
100	0.9988299899446563
