k%	P@k_improvement_wrt_Random_Predictor
1	20.858299892242247
2	15.148063412207458
3	12.528683329687125
4	10.650352173546954
5	9.25745567946448
6	8.311338389941534
7	7.596524576745294
8	6.9814147840386145
9	6.486590879821141
10	6.076053773246815
11	5.703776817671274
12	5.382880047943968
13	5.104943883045504
14	4.844133786959643
15	4.604068122840725
16	4.404590820935249
17	4.228463485031876
18	4.055585127604309
19	3.904256633778099
20	3.7617315738381363
21	3.6237462438224797
22	3.5030663162363056
23	3.3937931425271097
24	3.312070538184846
25	3.2090699910751423
26	3.1204894375362597
27	3.027523120614574
28	2.954008741955769
29	2.8652044502445735
30	2.785160575693458
31	2.717749812750377
32	2.6538739139097176
33	2.5919564620109874
34	2.5281147672821214
35	2.471530025391092
36	2.42161662545136
37	2.3692717722217087
38	2.3196823696264066
39	2.2710079981248357
40	2.2247820311996924
41	2.177709192064262
42	2.1308710045480206
43	2.095525460817958
44	2.0541157044840226
45	2.0150152855519305
46	1.9785463824836653
47	1.9418222026526315
48	1.9088304455112801
49	1.8776100964546671
50	1.8446908542686054
51	1.812659110565517
52	1.784699142050799
53	1.7534120085114266
54	1.726401802123561
55	1.7015237805286663
56	1.6775240682124317
57	1.653275165703667
58	1.6280431911763482
59	1.6025933444410447
60	1.5793955260379167
61	1.557306964737048
62	1.5352500285642352
63	1.5145624487874305
64	1.4928753901431242
65	1.4734735782676822
66	1.453698731511834
67	1.4332613138554708
68	1.4174560452460274
69	1.4008766445673868
70	1.3832716300955867
71	1.367050087642643
72	1.351577559188153
73	1.3347945639411407
74	1.3187470211388208
75	1.3036935218592967
76	1.2879248507117356
77	1.2720174732209766
78	1.2597600085711071
79	1.2440790903359633
80	1.2311594479818457
81	1.217781637481916
82	1.20498238381518
83	1.1930023495326807
84	1.1803070011973582
85	1.166668753298015
86	1.1550604523282755
87	1.1422681673909008
88	1.1292878473069137
89	1.1177837872334642
90	1.106064598307796
91	1.0941426158514675
92	1.0824783850941189
93	1.0712914058557792
94	1.0610148774901158
95	1.050289791019448
96	1.0402290539544032
97	1.0303705929212392
98	1.0202865222054782
99	1.0099805977387564
100	1.0000913510589005
