k%	P@k_improvement_wrt_Random_Predictor
1	3.7910314881637364
2	3.496772415051776
3	3.2508819892590126
4	3.549670019045267
5	3.7076080779997023
6	3.8586710008503062
7	3.8942592145445745
8	3.854969414062751
9	3.8056818524874343
10	3.7265042548007505
11	3.780410980015291
12	3.7605170566449138
13	3.6819255662971906
14	3.760682885181943
15	3.9609048966880325
16	4.206028700010298
17	4.429302116847823
18	4.215999286449658
19	4.021815525644567
20	3.832300386232903
21	3.6648720402676362
22	3.5308304107112534
23	3.3883050727673414
24	3.262940637380512
25	3.1442284163172207
26	3.0346415206356134
27	2.9362912406788673
28	2.84872750460066
29	2.7606666587492197
30	2.678456271410817
31	2.6117688159944676
32	2.5413493934391993
33	2.4771040101692297
34	2.4135511418413516
35	2.3542263991248555
36	2.305193481717519
37	2.253709366283264
38	2.204378213574979
39	2.165167155804836
40	2.1305016639233836
41	2.092917191716382
42	2.0556030926367264
43	2.015149211344967
44	1.9736590608382456
45	1.9372925336041587
46	1.9043295942102603
47	1.8732375401587273
48	1.843413046509248
49	1.8118173150804389
50	1.7835971943793045
51	1.7548246185714533
52	1.7307982200068177
53	1.7080793814878583
54	1.6838632242996527
55	1.6593749828394646
56	1.63651953341789
57	1.6122359967666953
58	1.586984008345686
59	1.5618710291489997
60	1.542865460897779
61	1.5244812904381555
62	1.5073745318303509
63	1.490804757117625
64	1.475081567577765
65	1.4595260709972628
66	1.4453853840628335
67	1.4360879938380309
68	1.4276637555162028
69	1.4112587314991925
70	1.392906633521641
71	1.3744716704004643
72	1.355965131286154
73	1.3385451388108758
74	1.3215947799741272
75	1.3045347071201863
76	1.288752981451158
77	1.2720159297440001
78	1.256518130548947
79	1.2416789260952292
80	1.2266840559681453
81	1.212840585850058
82	1.1995909744731255
83	1.1861543413017952
84	1.1725344910733786
85	1.159481784003216
86	1.146980737079173
87	1.135006588078065
88	1.1228275758352515
89	1.1106834553671043
90	1.0995107648877407
91	1.0876586407460596
92	1.0762958690955802
93	1.0649492030811456
94	1.0558582189703922
95	1.0458523372131903
96	1.0371503503181108
97	1.0275447420777786
98	1.0170595916484135
99	1.0076358616303764
100	0.9998797091110813
