k%	P@k_improvement_wrt_Random_Predictor
1	100.08541035935836
2	50.04270517967918
3	33.36180345311946
4	25.02135258983959
5	20.017082071871673
6	16.68090172655973
7	14.297915765622625
8	12.510676294919795
9	11.12060115103982
10	10.008541035935837
11	9.098673669032578
12	8.340450863279864
13	7.698877719950644
14	7.148957882811312
15	6.672360690623892
16	6.255338147459898
17	5.887377079962257
18	5.56030057551991
19	5.267653176808335
20	5.004270517967918
21	4.7659719218742085
22	4.549336834516289
23	4.351539580841669
24	4.170225431639932
25	4.003416414374334
26	3.849438859975322
27	3.706867050346606
28	3.574478941405656
29	3.4512210468744264
30	3.336180345311946
31	3.2285616244954314
32	3.127669073729949
33	3.0328912230108593
34	2.9436885399811286
35	2.8595831531245244
36	2.780150287759955
37	2.7050110907934695
38	2.6338265884041676
39	2.5662925733168813
40	2.502135258983959
41	2.4411075697404483
42	2.3829859609371042
43	2.3275676827757756
44	2.2746684172581446
45	2.2241202302079635
46	2.1757697904208344
47	2.129476816156561
48	2.085112715819966
49	2.0425593950889462
50	2.001708207187167
51	1.9624590266540856
52	1.924719429987661
53	1.8884039690444978
54	1.853433525173303
55	1.8197347338065157
56	1.787239470702828
57	1.755884392269445
58	1.7256105234372132
59	1.696362887446752
60	1.668090172655973
61	1.6407444321206293
62	1.6142808122477157
63	1.5886573072914028
64	1.5638345368649744
65	1.5397755439901286
66	1.5164456115054297
67	1.4938120949157965
68	1.4718442699905643
69	1.4505131936138893
70	1.4297915765622622
71	1.4096536670332163
72	1.3900751438799774
73	1.3710330186213473
74	1.3525055453967347
75	1.3344721381247784
76	1.3169132942020838
77	1.2998105241475113
78	1.2831462866584407
79	1.266903928599473
80	1.2510676294919796
81	1.2356223501155355
82	1.2205537848702241
83	1.205848317582631
84	1.1914929804685521
85	1.1774754159924514
86	1.1637838413878878
87	1.150407015624809
88	1.1373342086290723
89	1.1245551725770604
90	1.1120601151039817
91	1.0998396742786636
92	1.0878848952104172
93	1.0761872081651438
94	1.0647384080782805
95	1.053530635361667
96	1.042556357909983
97	1.0318083542201895
98	1.0212796975444731
99	1.01096374100362
100	1.0008541035935834
