k%	P@k_improvement_wrt_Random_Predictor
1	49.49306999720255
2	31.119234415194352
3	23.106952748087846
4	18.86750593228508
5	15.806417110633868
6	13.635971648138787
7	12.141547442572497
8	10.788767861610207
9	9.725712672788623
10	8.904497668539879
11	8.197342065624424
12	7.583424549240007
13	7.041381510343237
14	6.5804194089138885
15	6.158033277480686
16	5.864740159668175
17	5.551278442408668
18	5.261896481646782
19	5.008038167792206
20	4.774671841435309
21	4.5566085822769145
22	4.371682630563083
23	4.198589106788768
24	4.031786032227112
25	3.8842227194943555
26	3.738594033273634
27	3.6055563984405543
28	3.4785174356789303
29	3.365311765718668
30	3.25313470686138
31	3.1529231967297386
32	3.0543943468319337
33	2.967751467400733
34	2.881904025385352
35	2.8009699300303614
36	2.7272198941306742
37	2.6548329176326755
38	2.5875426705215387
39	2.521195422559448
40	2.459395804194479
41	2.4017959925655763
42	2.3446103736949673
43	2.291222654280614
44	2.240267836864252
45	2.190484107156158
46	2.1428648874353717
47	2.0983060905286997
48	2.0576323935935523
49	2.0156398957651125
50	1.976305866627366
51	1.9375547712033
52	1.9021672540646375
53	1.8662773058747386
54	1.8344254587640503
55	1.8010722686047038
56	1.7706436008427786
57	1.7395796780209754
58	1.7095869249516482
59	1.6814449548331574
60	1.6542286296045225
61	1.6271101274798583
62	1.6008664157463124
63	1.5770084110643467
64	1.553127052029307
65	1.5307427762571404
66	1.507549703889608
67	1.485048962040509
68	1.463210006716384
69	1.4434265157036605
70	1.422806136907894
71	1.4027666138528534
72	1.383283744216008
73	1.3643346518294877
74	1.345897697075035
75	1.3279523944473677
76	1.3111227808849648
77	1.294095212302043
78	1.2775042480417604
79	1.2613333081931306
80	1.2455666418407165
81	1.2314009935073555
82	1.2163839082206804
83	1.2029071396973288
84	1.1885868166056937
85	1.1746034422926857
86	1.160945262731143
87	1.147601064308946
88	1.1351193554868064
89	1.122365205425157
90	1.109894480920433
91	1.098231919952316
92	1.0862946164745737
93	1.0746140292006534
94	1.0631819650602208
95	1.0519905759543238
96	1.0415417341600572
97	1.0313087104973535
98	1.0207851522269724
99	1.0104741910933666
100	1.0008541035935834
