k%	P@k_improvement_wrt_Random_Predictor
1	15.571659279649262
2	13.95918726703196
3	12.494765335131472
4	12.117500781548024
5	10.583066256107674
6	9.64957336362406
7	8.752696688910182
8	7.908667529218077
9	7.338996168691045
10	6.766277712323166
11	6.359473042444845
12	5.996159783349674
13	5.666525089506442
14	5.359454121496516
15	5.096740455755758
16	4.857456043923448
17	4.660765056127507
18	4.488616018846718
19	4.295952177014366
20	4.1643394010526675
21	4.012498899585028
22	3.898964132426157
23	3.7655539745849658
24	3.6555348250553372
25	3.5737261600011307
26	3.4757049405482876
27	3.388570573583568
28	3.2972798115469977
29	3.2290432812043393
30	3.142576509717796
31	3.058535384625
32	2.9904167402693593
33	2.947133038107947
34	2.881904025385352
35	2.8009699300303614
36	2.7272198941306742
37	2.6548329176326755
38	2.5875426705215387
39	2.521195422559448
40	2.459395804194479
41	2.4017959925655763
42	2.3446103736949673
43	2.291222654280614
44	2.240267836864252
45	2.190484107156158
46	2.1428648874353717
47	2.0983060905286997
48	2.0576323935935523
49	2.0156398957651125
50	1.976305866627366
51	1.9375547712033
52	1.9021672540646375
53	1.8662773058747386
54	1.8344254587640503
55	1.8010722686047038
56	1.7706436008427786
57	1.7395796780209754
58	1.7095869249516482
59	1.6814449548331574
60	1.6542286296045225
61	1.6271101274798583
62	1.6008664157463124
63	1.5770084110643467
64	1.553127052029307
65	1.5307427762571404
66	1.507549703889608
67	1.485048962040509
68	1.463210006716384
69	1.4434265157036605
70	1.422806136907894
71	1.4027666138528534
72	1.383283744216008
73	1.3643346518294877
74	1.345897697075035
75	1.3279523944473677
76	1.3111227808849648
77	1.294095212302043
78	1.2775042480417604
79	1.2613333081931306
80	1.2455666418407165
81	1.2314009935073555
82	1.2163839082206804
83	1.2029071396973288
84	1.1885868166056937
85	1.1746034422926857
86	1.160945262731143
87	1.147601064308946
88	1.1351193554868064
89	1.122365205425157
90	1.109894480920433
91	1.098231919952316
92	1.0862946164745737
93	1.0746140292006534
94	1.0631819650602208
95	1.0519905759543238
96	1.0415417341600572
97	1.0313087104973535
98	1.0207851522269724
99	1.0104741910933666
100	1.0008541035935834
