k%	P@k_improvement_wrt_Random_Predictor
1	47.005332789613284
2	28.848704500865768
3	21.187231128993396
4	17.08666288500475
5	14.225544445656473
6	12.643757858636262
7	11.15131129103603
8	9.952780478419317
9	9.242993654364444
10	8.41646972144512
11	7.722368518522027
12	7.156357921757032
13	6.67728816347625
14	6.287492720975934
15	6.0016592338182475
16	5.6478795716056664
17	5.341546377362818
18	5.077438421180239
19	4.838443604095411
20	4.616025743996724
21	4.398545396133918
22	4.211890918264445
23	4.0478137270636925
24	3.8811939233892785
25	3.7376374814421967
26	3.610767764502092
27	3.4915219947001717
28	3.377347862005602
29	3.2828106349126003
30	3.188032328057467
31	3.0962211115625973
32	3.0178068756846423
33	2.9500273377728576
34	2.881904025385352
35	2.8009699300303614
36	2.7272198941306742
37	2.6548329176326755
38	2.5875426705215387
39	2.521195422559448
40	2.459395804194479
41	2.4017959925655763
42	2.3446103736949673
43	2.291222654280614
44	2.240267836864252
45	2.190484107156158
46	2.1428648874353717
47	2.0983060905286997
48	2.0576323935935523
49	2.0156398957651125
50	1.976305866627366
51	1.9375547712033
52	1.9021672540646375
53	1.8662773058747386
54	1.8344254587640503
55	1.8010722686047038
56	1.7706436008427786
57	1.7395796780209754
58	1.7095869249516482
59	1.6814449548331574
60	1.6542286296045225
61	1.6271101274798583
62	1.6008664157463124
63	1.5770084110643467
64	1.553127052029307
65	1.5307427762571404
66	1.507549703889608
67	1.485048962040509
68	1.463210006716384
69	1.4434265157036605
70	1.422806136907894
71	1.4027666138528534
72	1.383283744216008
73	1.3643346518294877
74	1.345897697075035
75	1.3279523944473677
76	1.3111227808849648
77	1.294095212302043
78	1.2775042480417604
79	1.2613333081931306
80	1.2455666418407165
81	1.2314009935073555
82	1.2163839082206804
83	1.2029071396973288
84	1.1885868166056937
85	1.1746034422926857
86	1.160945262731143
87	1.147601064308946
88	1.1351193554868064
89	1.122365205425157
90	1.109894480920433
91	1.098231919952316
92	1.0862946164745737
93	1.0746140292006534
94	1.0631819650602208
95	1.0519905759543238
96	1.0415417341600572
97	1.0313087104973535
98	1.0207851522269724
99	1.0104741910933666
100	1.0008541035935834
