k%	P@k_improvement_wrt_Random_Predictor
1	42.326312813053654
2	26.529638530190038
3	20.20770844722287
4	16.169491485450997
5	13.540925819939531
6	11.846015989622847
7	10.474975944053446
8	9.318272048325705
9	8.505303860081355
10	7.772168562176475
11	7.154460545457949
12	6.627474673693277
13	6.19639552492262
14	5.830477125417948
15	5.510276821753763
16	5.205593836698152
17	4.942496226702914
18	4.689595722486169
19	4.4632669870210595
20	4.262126166555888
21	4.089442035637324
22	3.9213448815960836
23	3.76993093423624
24	3.6250482819389758
25	3.493701766145288
26	3.3743837101678986
27	3.2674714963774
28	3.159477684603828
29	3.0589690409836607
30	2.9732903094367633
31	2.8884086209730806
32	2.807308115965611
33	2.729599875937708
34	2.659365201969147
35	2.593131226056998
36	2.5332788012590277
37	2.4700805566761472
38	2.4140516900285562
39	2.357170595374954
40	2.3067938942941386
41	2.2612385580105974
42	2.212025689654392
43	2.1651263075264184
44	2.122572238698589
45	2.0819367307886805
46	2.045205227578012
47	2.0047996178463703
48	1.964042655831135
49	1.930925879796289
50	1.8981955763072105
51	1.8657710648834755
52	1.8355546767303033
53	1.8045908291302926
54	1.7711724804426943
55	1.740742129826037
56	1.711401665526925
57	1.684793618816148
58	1.659947973644551
59	1.6326370153255212
60	1.6070441796357104
61	1.5814937085124217
62	1.5567794662454582
63	1.53362170015557
64	1.5127180576647206
65	1.4924461347502802
66	1.4698333145267912
67	1.4500787510547133
68	1.4301795176896461
69	1.4108658996318195
70	1.3921035753017437
71	1.3731857564788712
72	1.3541137320833312
73	1.3362300019564608
74	1.3188277781613071
75	1.301895431301886
76	1.2847652282584403
77	1.2706288172226667
78	1.2555970263203053
79	1.240945787086358
80	1.2254339647477788
81	1.2103051503681765
82	1.197339082262665
83	1.1852672869857912
84	1.1723165321406372
85	1.1613953750834172
86	1.1484594028580837
87	1.1369365204992736
88	1.124016787311782
89	1.1124901843851156
90	1.1012167032003428
91	1.0901805952775938
92	1.0783308061984893
93	1.066735851293129
94	1.0553875975559683
95	1.0458194497248976
96	1.0364495142454468
97	1.0272773600744656
98	1.017290871020867
99	1.0094814121181623
100	1.0008541035935834
