k%	P@k_improvement_wrt_Random_Predictor
1	5.171531097201827
2	4.317881713816901
3	4.24558802596245
4	3.673064267652971
5	3.6800960437856434
6	3.767233702700299
7	3.508289013583707
8	3.332036287442276
9	3.3256341021164304
10	3.4716779824081763
11	3.4799550269552433
12	3.5966291417023974
13	3.4852625002125253
14	3.557268997805783
15	3.648654301555277
16	3.5364240152380675
17	3.472188635139512
18	3.37943869625058
19	3.407269090661731
20	3.5173349138215797
21	3.498682796895494
22	3.4107369065660387
23	3.372818308665592
24	3.333926888004824
25	3.237805573727992
26	3.152762023800838
27	3.0793793616754668
28	3.061955283424432
29	3.072476424066398
30	3.022179993535821
31	3.025465341686863
32	2.9980577879550516
33	2.939718123126464
34	2.8819120327113197
35	2.8023574945346112
36	2.7272188753758675
37	2.6561535957010998
38	2.58625481686686
39	2.523710186059252
40	2.4606174314077713
41	2.4029962532475446
42	2.3457820567416503
43	2.291228985654635
44	2.240260177635707
45	2.193720365635838
46	2.146030792469842
47	2.101411806223202
48	2.05864209028345
49	2.018619596026636
50	1.9792314178653172
51	1.9423262307294658
52	1.9049738032154373
53	1.8699594048144044
54	1.8353305269474707
55	1.8028420708414274
56	1.771527224718557
57	1.7413004564396666
58	1.7121264949141668
59	1.6839368668457535
60	1.6558712523983243
61	1.6295325546206585
62	1.6032497714816152
63	1.578578163027586
64	1.55391287923028
65	1.5300065272421222
66	1.5068246101626959
67	1.4850645676782488
68	1.4632253828594508
69	1.4420192178904734
70	1.4214189433491808
71	1.4020920665127234
72	1.3833020473661672
73	1.3650225914255996
74	1.3478981256060982
75	1.3299261505980167
76	1.3124271223006745
77	1.2960181783601175
78	1.279402560688834
79	1.2632075915661907
80	1.2480233146855517
81	1.23261561944252
82	1.2175837216444405
83	1.204083518660012
84	1.1897491910569165
85	1.1763278880901034
86	1.1626496568332416
87	1.1498445048331103
88	1.1367780900054612
89	1.12400530247731
90	1.1115163546720064
91	1.0993018892360502
92	1.0873529556573978
93	1.0756609883922645
94	1.0642177863880913
95	1.0530154938997955
96	1.042046582505006
97	1.0313038342317586
98	1.0212796975444731
99	1.01096374100362
100	1.0008541035935834
