k%	P@k_improvement_wrt_Random_Predictor
1	94.09436885279543
2	47.04718442639771
3	31.364789617598472
4	23.523592213198857
5	18.818873770559087
6	15.682394808799236
7	13.442052693256489
8	11.761796106599428
9	10.454929872532825
10	9.409436885279543
11	8.55403353207231
12	7.841197404399618
13	7.2380283732919555
14	6.7210263466282445
15	6.272957923519694
16	5.880898053299714
17	5.534962873693849
18	5.227464936266412
19	4.952335202778707
20	4.704718442639772
21	4.480684231085496
22	4.277016766036155
23	4.091059515338932
24	3.920598702199809
25	3.763774754111817
26	3.6190141866459777
27	3.484976624177608
28	3.3605131733141222
29	3.244633408717083
30	3.136478961759847
31	3.0353022210579166
32	2.940449026649857
33	2.8513445106907698
34	2.7674814368469245
35	2.6884105386512975
36	2.613732468133206
37	2.543091050075552
38	2.4761676013893537
39	2.4126761244306523
40	2.352359221319886
41	2.294984606165742
42	2.240342115542748
43	2.1882411361115217
44	2.1385083830180776
45	2.0909859745065646
46	2.045529757669466
47	2.002007847931817
48	1.9602993510999045
49	1.9202932418937841
50	1.8818873770559086
51	1.844987624564616
52	1.8095070933229889
53	1.7753654500527436
54	1.742488312088804
55	1.7108067064144623
56	1.6802565866570611
57	1.6507784009262356
58	1.6223167043585416
59	1.5948198110643292
60	1.5682394808799236
61	1.5425306369310725
62	1.5176511105289583
63	1.493561410361832
64	1.4702245133249285
65	1.4476056746583912
66	1.4256722553453849
67	1.4043935649670956
68	1.3837407184234622
69	1.3636865051129772
70	1.3442052693256488
71	1.3252728007435977
72	1.306866234066603
73	1.2889639568876086
74	1.271545525037776
75	1.2545915847039388
76	1.2380838006946768
77	1.2220047902960443
78	1.2063380622153261
79	1.1910679601619674
80	1.176179610659943
81	1.1616588747258694
82	1.147492303082871
83	1.1336670946119929
84	1.120171057771374
85	1.1069925747387697
86	1.0941205680557609
87	1.081544469572361
88	1.0692541915090388
89	1.0572400994696114
90	1.0454929872532823
91	1.0340040533274224
92	1.022764878834733
93	1.0117674070193057
94	1.0010039239659085
95	0.9904670405557413
96	0.9801496755499522
97	0.9700450397195404
98	0.9601466209468921
99	0.9504481702302566
100	0.9409436885279543
