k%	P@k_improvement_wrt_Random_Predictor
1	29.446476389368268
2	20.247327136483086
3	14.34400658012203
4	10.801615422831166
5	8.700316876138947
6	7.331489722578195
7	6.31876963321364
8	5.585579929980122
9	5.015296980125835
10	4.550168497968642
11	4.187082556201163
12	3.9193164892230463
13	3.6953066828388472
14	3.4872887095936305
15	3.3057384314496225
16	3.1621131750779137
17	3.013896983375696
18	2.8695187678445366
19	2.735894889944536
20	2.619930926260615
21	2.5067368730762083
22	2.3975454147343305
23	2.300119992688433
24	2.2078867803022075
25	2.1313988207651433
26	2.069496445086538
27	2.001832154469911
28	1.9470999696420823
29	1.8883560510516333
30	1.8329399941192506
31	1.785588295297004
32	1.7509935679989337
33	1.717917674876773
34	1.6857788800570148
35	1.6495265655371192
36	1.611894637084165
37	1.572099930154464
38	1.5348516918762098
39	1.5004075160817414
40	1.4698457385288015
41	1.4395059915832453
42	1.4147590559364502
43	1.4008815902434875
44	1.3781194822317968
45	1.355976584397715
46	1.3461357019862012
47	1.322296829359782
48	1.2990843801585867
49	1.2803593478911686
50	1.2582199717945737
51	1.2379847277505416
52	1.221538336054469
53	1.2073478800630304
54	1.19718149698559
55	1.1849089025964852
56	1.1686959577758067
57	1.162221829953977
58	1.1523542543809655
59	1.141929814163523
60	1.1307118140968262
61	1.120716299864463
62	1.1256250127560536
63	1.119610332306102
64	1.1080756461808696
65	1.0966413801231876
66	1.0847636472524322
67	1.078163196610684
68	1.0663884343724905
69	1.0602499746217249
70	1.0513060781280363
71	1.0482502343561262
72	1.038989129103978
73	1.0288027810400098
74	1.0226474040961868
75	1.0136394166195501
76	1.0064666585348991
77	1.0012982095030594
78	1.0000436462103675
79	0.991353322668345
80	0.9859218241594674
81	0.9818934107647662
82	0.9767004728379238
83	0.9751693208231927
84	0.974951281513943
85	0.9753325795811818
86	0.9726945304502411
87	0.9688900035556764
88	0.967748512142472
89	0.9662499205050151
90	0.9620772816436978
91	0.9622063651466852
92	0.9530770915461716
93	0.9465607596355545
94	0.9457335117298815
95	0.9493153626943208
96	0.9482960257611921
97	0.9419279289077499
98	0.9409945538035963
99	0.9393872511506375
100	0.9409436885279543
