k%	P@k_improvement_wrt_Random_Predictor
1	17.072066850239445
2	12.716122622334705
3	10.540009969584155
4	9.230302950608548
5	8.284207774951701
6	7.55791552594709
7	7.061335165683421
8	6.582786328935169
9	6.1967142464831095
10	5.809852217084884
11	5.461714093605038
12	5.157169981398447
13	4.896560835638814
14	4.682104026394795
15	4.461432915212473
16	4.28355350126891
17	4.109232385992408
18	3.952385634087289
19	3.8047601512371307
20	3.6701446290401827
21	3.5458276538565934
22	3.417063630881745
23	3.311526707737925
24	3.2054358559281004
25	3.109173987914554
26	3.0123197474227177
27	2.916824952400239
28	2.842433008549663
29	2.7701836321434605
30	2.702797921274855
31	2.6391633114485384
32	2.571320693529542
33	2.5070816018963376
34	2.450221130802103
35	2.394590198827333
36	2.342555641221581
37	2.293309812701233
38	2.243929862126601
39	2.199330668521514
40	2.1534476200161885
41	2.1072738431123956
42	2.0666146789676234
43	2.0250162781182803
44	1.9861085434413712
45	1.947762864648301
46	1.909201033224074
47	1.874844519445609
48	1.8437621566893871
49	1.8128586471244486
50	1.7807616693367638
51	1.7523159812092906
52	1.7249763509405383
53	1.6966797054685858
54	1.6710626660480046
55	1.6441546565151526
56	1.6179108319497317
57	1.5904362289611929
58	1.5654046810748263
59	1.540643238829976
60	1.516990173694616
61	1.4944019248801403
62	1.472823150992321
63	1.4524762450040787
64	1.431140587516932
65	1.4120611889162353
66	1.3927753997490386
67	1.3725059601333516
68	1.3553874526339078
69	1.3382606054176334
70	1.3208742376380644
71	1.30398321562187
72	1.2870805899302702
73	1.2720667943225887
74	1.2553435005059908
75	1.2390698108671894
76	1.2234492036522164
77	1.208237501428029
78	1.1945264624949163
79	1.180510678112282
80	1.1664083949607966
81	1.1520082913193053
82	1.1390169342285787
83	1.1259228137927475
84	1.1129319908863695
85	1.1008604783675342
86	1.0884635303109118
87	1.0763500213742412
88	1.0658939217708476
89	1.05430942358534
90	1.0431742981276115
91	1.0320934462536366
92	1.0212529538641868
93	1.0104572973498047
94	0.9998945588627773
95	0.9893693529800112
96	0.9790634222198026
97	0.9689699848773305
98	0.9590825360520517
99	0.950096485608076
100	0.9409436885279543
