k%	P@k_improvement_wrt_Random_Predictor
1	12.959946800720662
2	19.27356527329857
3	14.889322171150098
4	12.231189901752765
5	10.174657836951623
6	8.858273277810833
7	8.06203973856894
8	7.447227130297305
9	6.936170902906758
10	6.494485065040817
11	6.136251806772227
12	5.866727350307527
13	5.638672962402735
14	5.465421691409688
15	5.135746419129364
16	4.827798923133484
17	4.566275406434104
18	4.335713359783071
19	4.12762075225657
20	3.93859916967378
21	3.7634651593452153
22	3.6050070728542445
23	3.4618678454584613
24	3.327732965016783
25	3.2016108613943204
26	3.091184689612504
27	2.9850229042534506
28	2.8858525943729965
29	2.792321765241641
30	2.710234206303767
31	2.631772362185372
32	2.5625575232564795
33	2.4964694659200104
34	2.432749743062046
35	2.3746681405403507
36	2.3169090399561214
37	2.262287429583256
38	2.2100568039426043
39	2.1609566584846953
40	2.1217038439584117
41	2.078842257672891
42	2.037201357061203
43	1.9987364822409877
44	1.9659810400272146
45	1.9361878089337883
46	1.8993862739414316
47	1.862314582241971
48	1.8271375771279934
49	1.7955226229900245
50	1.7630809195303212
51	1.7312312051194532
52	1.6986054836682523
53	1.6698381725512004
54	1.642770424371243
55	1.6154304636680745
56	1.5893732982697306
57	1.5642400234676812
58	1.5405647979047026
59	1.5165159780290005
60	1.4932647397219494
61	1.469922967515934
62	1.4473314835625866
63	1.427390628009137
64	1.4091488235792702
65	1.3893393614853675
66	1.3701271930199752
67	1.352010160121388
68	1.3334002877740772
69	1.3165903859403327
70	1.2992701400960522
71	1.285871967317007
72	1.2694552394510583
73	1.2546853512965668
74	1.2412580973464218
75	1.2274838973791398
76	1.2120229397022082
77	1.1983120926027355
78	1.1833977923283359
79	1.1692944660624476
80	1.1551157436266615
81	1.1412811516813117
82	1.1277898775290953
83	1.114620396420287
84	1.1017659397181034
85	1.089413742848032
86	1.0771481447653264
87	1.0653637254292794
88	1.055038690929716
89	1.0443551760083385
90	1.0333284583602866
91	1.022353612759202
92	1.0118082190143278
93	1.0022352227520082
94	0.9923134110633711
95	0.9833317109086408
96	0.9739943728667095
97	0.9643124312231033
98	0.9551779299322034
99	0.9469346545495027
100	0.9409436885279543
